from,subject,date
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
LinkedIn <notifications-noreply@linkedin.com>,Tienes 2 mensajes nuevos,
"""Samsung"" <no-reply@m21.email.samsung.com>","Ya disfrutas de una TV inteligente 🤖, es tiempo de más con protección Select AI",
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Vuela a Phoenix desde $7,597 MXN, ¡sorprende a mamá con un viaje!",
"""Nintendo"" <nintendo-noreply@nintendo.net>",Celebra el Día del Niño con Mario y sus amigos,
Siemens Talent Acquisition <talentacquisition.hr@siemens.com>,An update on your recent Siemens application,
Emily Keller <ekeller@yelp.com>,Thank you from Yelp,
"""Hey Banco"" <noreply@hola.hey.inc>",⚠️ ¡No caigas en el Phishing!,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""ClickUp Team"" <team@mail.clickup.com>",New: AI fills out your tasks instantly ⚡️,
"=?UTF-8?Q?Tecnol=C3=B3gico_de_Monterrey?=
 <info@envios.maestriasydiplomados.tec.mx>","josue alfredo , identificar estrategias para la gestión ágil de proyectos que generen valor inmediato en tu organización, ¡ES POSIBLE!",
DICK'S Sporting Goods  <DSG@e.dcsg.com>,"Congrats, Ben & Andrew, on your win at the Zurich!🏆",
ATTITUDE <info@attitudeliving.com>,20% OFF Oceanly this ,
Bitly Team <hello@e.bitly.com>,Waffles?,
"""Under Armour"" <underarmour@emails.underarmour.com>",Phantom Fore Golf Shoes: Style + Performance,
"""Hey Banco"" <noreply@hola.hey.inc>","Amazon bajo presión y Netflix en ascenso, esta semana en ‘Invierte x Hey, Mercados’",
LinkedIn <updates-noreply@linkedin.com>,Delia S. ha compartido una nueva publicación,
LinkedIn <jobalerts-noreply@linkedin.com>,"Hemos desactivado tu alerta de empleo sobre Chihuahua, Chihuahua, México",
"""Under Armour"" <underarmour@emails.underarmour.com>",What you need for better results,
"""Indeed"" <donotreply@match.indeed.com>",GERENTE DE DESARROLLO en GRUPO VADETO,
"""Indeed"" <donotreply@match.indeed.com>",Analista bases de datos Jr en LOOPS MÉXICO,
"""Indeed"" <donotreply@match.indeed.com>",Profesor Power BI - Online en Academia Europea AEUpSkilling,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador/a Java en Generation México,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador web en Hubspot en INGENES,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
Glassdoor <noreply@glassdoor.com>,Just in at Teleflex: This week's employee reviews and more,
"""SHEIN"" <shein@edm.mx.shein.com>",¡Precios inmejorables en los imprescindibles de la temporada!,
DICK'S | Clearance  <DSG@e.dcsg.com>,You won't want to miss up to 75% OFF select clearance!,
AliExpress <promotion@aliexpress.com>,77 compradores han comprado este reloj,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.983 MXN,
"""Best Buy"" <BestBuyInfo@emailinfo.bestbuy.com>",Your verification code for your BestBuy.com account,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, ¿reconoces a estos famosos de niñ@s? 👀👶🏻",
HackerRank Team <no-reply@hackerrankmail.com>,Can You Solve Type of Triangle?,
"""Indeed"" <no-reply@indeed.com>",La publicación de empleo de FrontWeb GG en GRUPO GARDEA se cerró,
"""Under Armour"" <underarmour@emails.underarmour.com>",Spring into action in pastel-colored gear,
ATTITUDE <info@attitudeliving.com>,New! Hair Care Bars for All ,
"""SHEIN"" <shein@email.shein.com>",¡Looks para amar en todas las tallas!,
"""Monedero del Ahorro"" <digital@monederodelahorro.com.mx>",En compra mínima de $400 en gastro abona 10%,
LinkedIn <notifications-noreply@linkedin.com>,Tienes 2 mensajes nuevos,
LinkedIn <messages-noreply@linkedin.com>,"💬 Josue Alfredo, añade a Cesar Diaz - EHS SR ENGENIEER",
"""Samsung"" <no-reply@m21.email.samsung.com>","Más grande, envolvente y con 54% OFF 😲",
DICK'S | Clearance  <DSG@e.dcsg.com>,Up to 75% OFF select clearance? You got it! ➡️,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Jr en FASHION GROUP,
"""Indeed"" <donotreply@match.indeed.com>",Analista de Datos en EcoCat / Ecobar / SOL KBBQ,
"""Indeed"" <donotreply@match.indeed.com>",QA Engineer Manual en Incfile,
"""Indeed"" <donotreply@match.indeed.com>",Técnico en Informática en Inventec IEC Technologies,
"""SHEIN"" <shein@email.shein.com>",¡Verano de Belleza y Estilo!💄💅Hasta - 80%,
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Vuela a Lima desde $6,343 MXN, ¡no dejes ir las mejores promociones!",
"""adidas"" <adidas@mx-news.adidas.com>",// Pensamos en ti: // ¿No sabes que regalar? Tenemos un par de ideas... Recuerda que son los últimos días.,
OCC <info@tx.occmundial.com.mx>,"Josue Escobar, no dejes ir tu ",
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""SHEIN"" <shein@edm.mx.shein.com>",¿No encuentras nada que te guste?,
Remotasks Community <notifications@remotasks.discoursemail.com>,[Remotasks Community] Confirm your new account,
Algo Monster <hello@algo.monster>,Are you still on the lookout?,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",Disfruta de la segunda parte de Horizontes Pokémon: En busca de Laqua,
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, sigue a Sheila Montes - Talent Acquisition
 Specialist ll en Johnson Controls",
"""SHEIN"" <shein@email.shein.com>",¡Tu estilo se luce!✨💎Desde $MXN80.00,
"""Under Armour"" <underarmour@emails.underarmour.com>",Give it up for mom 🎁,
"""SHEIN"" <shein@email.shein.com>",¿Tu closet se siente un poco apagado?,
AgileEngine Careers <careers@agileenginelp.com>,AgileEngine Careers,
Ford Careers <RecruitingNoReply@ford.com>,New job opportunities at Ford Global Career Site,
LinkedIn <updates-noreply@linkedin.com>,Jennifer Rumsey ha hablado sobre esto: I am proud to share the promotion of John Gaidoo to the role of Cummins Inc… 💭,
noreply@google.com,Thanks for applying to Google,
noreply@google.com,Thanks for applying to Google,
noreply@google.com,Thanks for applying to Google,
LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,
HackerRank Team <no-reply@hackerrankmail.com>,Practice Coding with Higher Than 75 Marks,
"""ClickUp Team"" <team@mail.clickup.com>",Major Update: Your work on Autopilot ⚡️,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
OCC <info@tx.occmundial.com.mx>,¡Conecta,
OCC <info@tx.occmundial.com.mx>,¡Conecta,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web y de Aplicaciones en A&C AUTOMATIZACION SA DE CV,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador/a Junior | Comienza tu carrera profesional con nosotros en Risosu,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Full Stack Senior en ClearMechanic,
Chrono24 <newsletter@chrono24.com>,El fascinante mundo de las agujas de reloj,
Braintrust <donotreply@usebraintrust.com>,🔔,
"""Samsung"" <no-reply@m21.email.samsung.com>","Josue, aprovecha hasta 60% OFF en innovación, diseño y confort 🤩",
"""adidas"" <adidas@mx-news.adidas.com>",😄 Tenemos algo que te va a mejorar el día...,
ITJ Talent <talent@itj.com>,TechTalkAlert📢 Last Spots Left: The Science Behind Transformers (LLMs),
SHEIN <noreply@sheinnotice.com>,¡Tu paquete de devolución,
Hyperskill Crew <crew@hyperskill.org>,🔓,
"""Coursera"" <Coursera@m.learn.coursera.org>",✨ Learn in-demand Python skills with experts at Microsoft ,
SHEIN <noreply@sheinnotice.com>,Ha recibido una etiqueta de ,
ATTITUDE <info@attitudeliving.com>,🌞 It's GLOW Time 🌞,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",¡Lo mejor de Alola llega a JCC Pokémon Pocket! ☀️🌙,
"""SHEIN"" <shein@email.shein.com>",¡Consiéntete con algo especial!,
"""Under Armour"" <underarmour@emails.underarmour.com>",The Spring Stock Up Event just kicked off,
Perry Ellis <perryellis@email.perryellis.com>,Welcome to The Friends and Family Event,
Bitly Team <hello@e.bitly.com>,The (easy) way to get more clicks.,
"Emerson Human Resources
 <hdjq.fa.sender@workflow.mail.us2.cloud.oracle.com>",New job opportunities at Emerson Career Site,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $ de tu servicio 6144989532. Paga aquí,
Siemens Talent Acquisition <talentacquisition.hr@siemens.com>,"Follow your application status, Josue",
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,Get ready for a Driftsmelting Bonanza! ,
"""Samsung"" <no-reply@m21.email.samsung.com>","¡Maratón de series sin calor y hasta $17,000 en beneficios! 📺❄️",
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en EC4,
"""Under Armour"" <underarmour@emails.underarmour.com>",Own your next move,
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Vuela a Guadalajara desde $2,260 MXN, ¡aprovecha esta oportunidad! ✈️",
Victaulic Recruiting Team <no-reply@jobvite.com>,PLANNER VICTAULIC,
PriceTravel <emarketing@em.pricetravel.com>,🏨✨,
Faceimagen 3D <faceimagen3d.norte@gmail.com>,Re: Factura Blanca Estela,
Faceimagen 3D <faceimagen3d.norte@gmail.com>,Re: Factura Blanca Estela,
"""adidas"" <adidas@mx-news.adidas.com>",Disfruta de estos nuevos Lightblaze...,
The Roku Channel <roku@email.roku.com>,🎉,
Hyperskill Crew <crew@hyperskill.org>,🌪,
=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"Josue Alfredo, mira quién más ha solicitado el empleo para Software Engineer Intern",
"""Encuesta Volaris"" <noreply@smileweb.net>","En Volaris, queremos brindarte la mejor experiencia. Ayúdanos a responder una breve encuesta.",
"""Encuesta Volaris"" <noreply@smileweb.net>",Cuéntanos cómo fue en tu vuelo de TIJ a CUU el día 2025-04-19,
"""Encuesta Volaris"" <noreply@smileweb.net>",Cuéntanos cómo fue en tu vuelo de TIJ a CUU el día 2025-04-19,
DICK'S | Clearance  <DSG@e.dcsg.com>,"Up to 75% off select clearance is here for you! Need something for
 your next activity? You're in the right place",
"""Coursera"" <Coursera@m.learn.coursera.org>",Just launched: new AI courses,
"""Yelp, Inc. @ icims"" <yelp+autoreply@talent.icims.com>","Thank you for applying at Yelp, Inc.",
LinkedIn <updates-noreply@linkedin.com>,Jennifer Rumsey ha hablado sobre esto: I’m pleased to announce that Nicole Y. Lamb-Hale has accepted the role of… 💭,
"""Indeed"" <donotreply@match.indeed.com>",Gerente de calidad en Confidencial,
"""Workday @ Intel Notification"" <intel@myworkday.com>",Thank you for your interest in Intel – update on the status of your job application,
"""Yelp, Inc. @ icims"" <yelp+autoreply@talent.icims.com>","Thank you for applying at Yelp, Inc.",
Mail Delivery Subsystem <mailer-daemon@googlemail.com>,Delivery Status Notification (Failure),
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,
Jabil@myworkday.com,Thank you for your recent application with Jabil,
Glassdoor Community <noreply@glassdoor.com>,I’m,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
SHEIN <noreply@sheinemail.com>,Notificación de Entrega SHEIN,
SHEIN <noreply@sheinnotice.com>,Notificación,
Insulet Talent Acquisition <insulet@myworkday.com>,REQ-2025-0045 - Test Coordination Trainee  (Remote/Flexible)- Insulet Video Call -- Action Required,
"=?UTF-8?Q?Tecnol=C3=B3gico_de_Monterrey?=
 <info@envios.maestriasydiplomados.tec.mx>",🤯 Estos son los desafíos que enfrenta el área de Gestión de Proyectos ,
"""SHEIN"" <shein@email.shein.com>",¡Regálate una sesión de autocuidado con estas compras de belleza!,
"""adidas"" <adidas@mx-news.adidas.com>",Ubersonic 5:,
"""Under Armour"" <underarmour@emails.underarmour.com>",StealthForm Uncrushable Hat,
"""Coursera"" <Coursera@m.learn.coursera.org>",Join Us in two days!,
didi <didi@mx.didiglobal.com>,En DiDi tú decides cuánto pagar 🤑,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
LinkedIn <updates-noreply@linkedin.com>,"Josue Alfredo, Jennifer Rumsey tiene una nueva publicación",
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, añade a Daniel Alejandro López Granados - Programmer",
Channel Factory <noreply@candidates.workablemail.com>,Mexico Jr Data Analyst - Data & Analytics - Channel Factory,
"""Under Armour"" <underarmour@emails.underarmour.com>",Sharon Won! Get the gear that helped her do it,
"""Indeed"" <donotreply@match.indeed.com>",¡Únete a BluePixel como QA (software)! en BluePixel,
"""Indeed"" <donotreply@match.indeed.com>",ServiceNow Developer CSM en EctoTec,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""adidas"" <adidas@mx-news.adidas.com>",Anthony Edwards 1 Tie Dye,
"=?UTF-8?Q?Tecnol=C3=B3gico_de_Monterrey?=
 <info@envios.maestriasydiplomados.tec.mx>",Sé parte de la mejor universidad privada de México.,
"""ClickUp Team"" <team@mail.clickup.com>",Last chance—get your biggest deal of the year,
ATTITUDE <info@attitudeliving.com>,UP TO 25%: LAST HOURS TO SAVE ,
Bitly Team <hello@e.bitly.com>,Would you rather? [Bitly edition],
Factorial <info@reply.factorial.co>,Thank you for your application,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
Workable <noreply@candidates.workablemail.com>,Thanks for applying to Channel Factory,
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,New Feature Test: Monster Outbreaks!,
LinkedIn <notifications-noreply@linkedin.com>,Tienes 2 mensajes nuevos,
"""Indeed"" <donotreply@match.indeed.com>","¡Únete a BluePixel como Full-stack (React, Next.js, Nest.js)! en BluePixel",
Danaher HR <danaher@myworkday.com>,Application Received,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""SHEIN"" <shein@news.shein.com>",💖 ¡Vestido de mujer de manga de farol.... se está agotando rápido!,
"""SHEIN"" <shein@edm.mx.shein.com>",¡Nuevos estilos a la moda que te encantarán!,
"""Under Armour"" <underarmour@emails.underarmour.com>",25% off: It's now or never!,
ATTITUDE <info@attitudeliving.com>,⏰Up,
DICK'S | Clearance  <DSG@e.dcsg.com>,Happy Easter! 🐣 Here's a treat: Up to 75% off select clearance!,
AliExpress <best-info04.a2@mail.aliexpress.com>,Se vende rápido: KODAK ColorPlus 200 /UltraMax 400/Gold 200 Impresión en ...,
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 3.029 MXN,
Netflix <info@members.netflix.com>,Ve WrestleMania 41 en vivo hoy y mañana,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Full Stack en Integritas,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en Universidad Mexicana,
"""Indeed"" <donotreply@match.indeed.com>",PROGRAMADOR ANALISTA JR en UNIFORMES ALTIMA S.A. DE C.V.,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""Indeed"" <no-reply@indeed.com>",Confirm your interest in a quick message to BLUE Technology,
"""Indeed"" <no-reply@indeed.com>",Confirm your interest in a quick message to Proyecto privado de gobierno,
"""Indeed"" <no-reply@indeed.com>",Confirm your interest in a quick message to TPI Composites,
Volaris <notifications@v.volaris.com>,"Josue, nos encantaría compensarte.",
"""adidas"" <adidas@mx-news.adidas.com>",PREPÁRATE PARA ADICLUB DAYS,
"""Encuesta Volaris"" <noreply@smileweb.net>",Cuéntanos cómo fue en tu vuelo de CUU a TIJ el día 2025-04-15,
"""Famously YOU Rewards by Famous Footwear"" <famousfootwear@email.famousfootwear.com>","$5 off to celebrate your anniversary, Josue! 🎉",
"""SHEIN"" <shein@email.shein.com>",¡Looks radiantes para tu mejor versión!,
LinkedIn <updates-noreply@linkedin.com>,"Josue Alfredo, Teleflex Vascular Access tiene una nueva publicación",
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, añade a Cesar Diaz - EHS SR ENGENIEER",
Crunchyroll <hello@mail.crunchyroll.com>,📺 ¡Tus estadísticas,
DICK'S Sporting Goods  <DSG@e.dcsg.com>,"Hippity hop, Easter DEALS just dropped.",
"""Indeed"" <donotreply@match.indeed.com>",¡Únete a BluePixel como Front-end con Vue.js! en BluePixel,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero Desarrollador de Software en Inventec IEC Technologies,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Firmware Embebido en Silbit,
notificaciones@volaris.com,Mi itinerario Volaris ,
notificaciones@volaris.com,Mi itinerario Volaris ,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""adidas"" <adidas@mx-news.adidas.com>",~~ Prepárate con los accesorios nuevos ~~ Rompe las barreras con nosotros,
"""Sam's Benefits"" <hola@pranagroup.mx>",Regálales un abril lleno de sonrisas 💙🌊,
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, sigue a Sandra Luna - Senior Recruiter at Stryker
 Communications en Stryker",
Algo Monster <hello@algo.monster>,Practice makes perfect,
Kaggle <noreply@kaggle.com>,5-Day Gen AI Intensive Course with Google - Now as a Learn Guide!,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",Pokémon GO × Horizontes Pokémon 🛄🌄,
LinkedIn <notifications-noreply@linkedin.com>,Tienes 2 mensajes nuevos,
"""SHEIN"" <shein@email.shein.com>",Artículos de liquidación en abundancia,
"""Under Armour"" <underarmour@emails.underarmour.com>",Curry 12 'Saturn' is ready to go,
ATTITUDE <info@attitudeliving.com>,🌷SAVE UP TO 25%🌷,
AgileEngine Careers <careers@agileenginelp.com>,AgileEngine Careers,
eBay <ebay@info.ebay.com>,Important User Agreement Update,
"""adidas CONFIRMED"" <news@link.adidas.com>",Colección CLOT Silk Gazelle by Edison Chen,
"""Workday@xylem.com"" <xylem@myworkday.com>","Thank you for your interest in Xylem! Your application has been
 received.",
Vana <no-reply@hire.lever.co>,Thank you for your application to Vana,
LeetCode <no-reply@leetcode.com>,LeetCode Weekly Digest,
"""Volaris"" <notificaciones@viaja.volaris.com>","Jose, les falta elegir asiento💺✈️",
=?UTF-8?b?RGlEaSBwYXJhIChNw6l4aWNvKQ==?= <didi@mx.didiglobal.com>,Pídela y ¡abracadabra! ✨,
"""Indeed"" <donotreply@match.indeed.com>",Front End Developer en SIAC Software,
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Junior-Mid en GH2SYSTEMAS,
"""Indeed"" <donotreply@match.indeed.com>",Técnico (a) en computación en vantecc.mx,
"""Indeed"" <donotreply@match.indeed.com>",¡Únete a BluePixel como Arquitecto Full-stack con AWS Y BACK (NODE.JS) en BluePixel,
HackerRank Team <no-reply@hackerrankmail.com>,Improve your Coding Skills with Calendar Module,
Braintrust <donotreply@usebraintrust.com>,🔔,
Bluelight Consulting <no-reply@hire.lever.co>,Thank you for your application to Bluelight Consulting,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Científico de Datos,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Ingeniero de Sistemas N1,
SHEIN <noreply@sheinemail.com>,Notificación de Entrega SHEIN,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Desarrollador de Software Home Office,
"""Grupo Salinas"" <no-reply@pandape.com>",Mantente informado sobre tu candidatura para Ingeniero en administración de red,
"""Grupo ViZion "" <no-reply@pandape.com>",Mantente informado sobre tu candidatura para Analista de Datos,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Analista de Datos,
=?utf-8?Q?Glory_Global_Solutions_M=C3=A9xico?= <no-reply@pandape.com>,"Mantente informado sobre tu candidatura para Recién egresado/a Mecatrónica, Electrónica o Informática",
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Ingeniero en administración de red,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,"Postulación en Indeed: Recién egresado/a Mecatrónica, Electrónica o Informática",
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Programador Analista,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Desarrollador Jr,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Practiante de IT,
SHEIN <noreply@sheinnotice.com>,Notificación,
"""Under Armour"" <underarmour@emails.underarmour.com>",New from Project Rock: 'You Against You' Collection,
"""Indeed"" <donotreply@match.indeed.com>","Desarrollador Jr. de Automatización (Zapier, APIs, CRM) en GBS Digital",
"""Indeed"" <donotreply@match.indeed.com>",Agente de Soporte Tecnico Bilingue en NIDIX NETWORKS,
"""Indeed"" <donotreply@match.indeed.com>",Técnico de pruebas en Inventec IEC Technologies,
Marcelo Ricigliano <marcelo@4geeksacademy.com>,🚀 Desbloquea tu Carrera Soñada - ¡Únete a Beyond the Resume!,
=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"Josue Alfredo, gracias por ser miembro de LinkedIn",
AutoZone Recruiter <noreply@invalidemail.com>,"ASSOCIATE SYSTEMS ENGINEER - IT QE-250002HR at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"Associate Programmer - ALLDATA-2500025U at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"ASSOCIATE SYSTEMS ENGINEER - IT QE-250001TY at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"Programmer - ALLDATA-2500012P at AutoZone.com, Inc.",
"=?UTF-8?Q?Tecnol=C3=B3gico_de_Monterrey?=
 <info@envios.maestriasydiplomados.tec.mx>","josue alfredo, ¿Te imaginas poder gestionar proyectos ágiles con mejores resultados?",
AutoZone Recruiter <noreply@invalidemail.com>,"Programmer - ALLDATA-250001XL at AutoZone.com, Inc.",
"""Coursera"" <Coursera@m.learn.coursera.org>",Learn in-demand Java skills from IBM experts,
PriceTravel <emarketing@em.pricetravel.com>,📢 ¡Haz realidad tus sueños,
"""SHEIN"" <shein@email.shein.com>",Los compradores no se cansan de estos ,
Bitly Team <hello@e.bitly.com>,"Oh, the possi*bitly*ties",
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
"""Indeed"" <donotreply@match.indeed.com>",Asesora de ventas en Protalento,
"Emerson Human Resources
 <hdjq.fa.sender@workflow.mail.us2.cloud.oracle.com>",New job opportunities at Emerson Career Site,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Jr en VILLARREAL MUEBLES,
Siemens Talent Acquisition <talentacquisition.hr@siemens.com>,"Thanks for your application, Josue",
Mail Delivery Subsystem <mailer-daemon@googlemail.com>,Delivery Status Notification (Failure),
Siemens Talent Acquisition <talentacquisition.hr@siemens.com>,Verify your email,
"""Samsung"" <no-reply@m21.email.samsung.com>","¡Más grande, más WOW y más épico! 🖥",
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $389.00 de tu servicio 6144989532. Paga aquí,
"""Indeed"" <alert@indeed.com>","1 nueva vacante de biomedica en Chihuahua, Chih.",
"""ClickUp Team"" <team@mail.clickup.com>",Biggest. Savings. Ever. 35% off ClickUp's Unlimited Plan,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador con dominio de Python ¡Seguimos CRECIENDO! en Addvalora Global Loss Adjusters México,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Backend en MANUABLE,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero de Soporte Junior (Redes) sin experiencia en Teleperformance,
Jabil@myworkday.com,Jabil - Thank You for Applying,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Técnico en Informática,
"""Volaris"" <notificaciones@viaja.volaris.com>","Jose, les falta elegir asiento💺✈️",
LinkedIn <notifications-noreply@linkedin.com>,"Josue Alfredo, has cumplido 1 año con Teleflex. ¡Felicidades!",
Kaggle <noreply@kaggle.com>,Explore Wikimedia's Knowledge with Kaggle!,
"""Indeed"" <donotreply@match.indeed.com>",Asesor de ventas y atención al cliente en InverCap Afore Nte,
SHEIN <noreply@sheinnotice.com>,Tu pedido SHEIN ha sido enviado,
"""Volaris"" <notificaciones@viaja.volaris.com>",💜¡Sí que sabes celebrar un aniversario! 🥳,
"""Samsung"" <no-reply@m21.email.samsung.com>","Maratón de pelis sin calor 📺🌬️ y con $11,000 en beneficios",
"""UA Rewards"" <underarmour@emails.underarmour.com>",Introducing Curry 12 'Saturn',
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Vuela a Las Vegas desde $7,431 MXN, ¡es tu última oportunidad!",
"""adidas"" <adidas@mx-news.adidas.com>",⚡¡Descubre Lightblaze!⚡,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
DICK'S | Clearance  <DSG@e.dcsg.com>,Take a look ASAP! $25 & under clearance picks,
Especial Flash <planes@gluup.info>,Cajas SORPRESA Devoluciones,
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.345 MXN,
LinkedIn <updates-noreply@linkedin.com>,"Temas sobre los que habla Teleflex Vascular Access: For 20 years, Cris Gomide, MBA has provided guidance, leadership, and kind… 💭",
Mail Delivery Subsystem <mailer-daemon@googlemail.com>,Delivery Status Notification (Failure),
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, añade a Iván René Ramos Moctezuma - Associate Professor",
"""TELMEX"" <informacion@aviso.telmex.com>",Saldo vencido $ de tu servicio 6144989532. Paga aquí,
LinkedIn <notifications-noreply@linkedin.com>,Tienes 2 mensajes nuevos,
"""Under Armour"" <underarmour@emails.underarmour.com>",Next up: Your new favorite polo,
"""Volaris"" <notificaciones@viaja.volaris.com>","Jose, les falta elegir asiento💺✈️",
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,
"""Indeed"" <donotreply@match.indeed.com>",Técnico en Informática en Inventec IEC Technologies,
"""Indeed"" <donotreply@match.indeed.com>",Consultor de Sistemas/ Gda en Castelec Internacional,
GNC REWARDS <boletin@newsletter.gnc.com.mx>,¡Regresa con 15% off! 🤩🛍️,
Glassdoor Community <noreply@glassdoor.com>,I’ve,
"""Hey Banco"" <noreply@hola.hey.inc>",Tu dinero crece en estas vacaciones 🤑,
